Product name,Condition,Order Number,Description,Rating,01.12
Samsung Galaxy Watch 42mm Rose-gold,Skladem,SAAW0013d,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, monitoring spánku, měření rychlosti, měření vystoupaných pater, GPS, akcelerometr, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí ANT+, WiFi a Bluetooth, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, gorilla glass sklíčko, materiál řemínku: silikon","4,6",4 790
Xiaomi Mi Band 5,Skladem,XI2900f5j,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření tempa, připojení pomocí Bluetooth, s akcelerometrem, s barometrem, s gyroskopem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","4,7",899
Samsung Galaxy Watch 46mm,Skladem,SAAW0013c,"Chytré hodinky - pánské s měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi a Bluetooth, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: ocel","4,6",4 999
Apple Watch Series 6 44mm Vesmírně šedý hliník s černým sportovním řemínkem,Skladem,JA059c1j,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,7",12 290
Samsung Galaxy Watch Active Rose Gold,Skladem,SAAW0010a3,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, ovládání mobilu, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,5",3 490
Apple Watch SE 44mm Vesmírně černý hliník s černým sportovním řemínkem,Skladem,JA059c5i,"Chytré hodinky - unisex, Apple Pay, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,8",8 790
Xiaomi Mi Band 4,Skladem,XI2900f5i,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření vzdálenosti, připojení pomocí Bluetooth, s akcelerometrem, s gyroskopem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","4,8",649
Apple Watch Series 6 40mm Zlatý hliník s pískově růžovým sportovním řemínkem,Skladem,JA059c1d,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,9",11 490
Xiaomi Amazfit GTS Pink,Skladem,XI300i08d,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, intervalový trénink, GPS, barometr, gyroskop, senzor pro intenzitu světla, připojení pomocí Bluetooth, stav baterie, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Amazfit OS, kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,6",2 890
Samsung Galaxy Watch Active 2 40mm růžovo-zlaté,Skladem,SAAW0014f,"Chytré hodinky s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, záznam trasy, měření tempa, intervalový trénink, barometr, gyroskop, kompas, senzor pro intenzitu světla, senzor GLONASS, připojení pomocí WiFi, Bluetooth, stav baterie, notifikace z mobilu, vibrace, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: elastomer, materiál pouzdra: hliník","4,8",5 190
Xiaomi Amazfit GTS Black,Skladem,XI300i08a,"Chytré hodinky - unisex s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, intervalový trénink, GPS, barometr, gyroskop, senzor pro intenzitu světla, připojení pomocí Bluetooth, stav baterie, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Amazfit OS, kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,6",2 889
Honor Watch Magic 2 46mm Black,Skladem,HON007,"Chytré hodinky - pánské s měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, GPS, barometr, gyroskop, kompas, připojení pomocí Bluetooth, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Lite OS, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, křemičité sklíčko, materiál řemínku: elastomer, materiál pouzdra: ocel","4,7",3 490
Xiaomi Amazfit GTS Gold,Skladem,XI300i08b,"Chytré hodinky - unisex s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, intervalový trénink, GPS, barometr, gyroskop, senzor pro intenzitu světla, připojení pomocí Bluetooth, stav baterie, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Amazfit OS, kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,6",2 890
Samsung Galaxy Watch Active Silver,Skladem,SAAW0010a2,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, ovládání mobilu, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,5",3 490
Samsung Galaxy Watch Active Black,Skladem,SAAW0010a1,"Chytré hodinky - unisex s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, ovládání mobilu, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,5",3 490
Xiaomi Amazfit T-Rex Rock Black,Skladem,XI300i12e,"Chytré hodinky - pánské, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, intervalový trénink, GPS, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, připojení pomocí Bluetooth, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: plast","4,8",2 990
Apple Watch Series 6 40mm Stříbrný hliník s bílým sportovním řemínkem,Skladem,JA059c1a,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,7",11 490
Apple Watch Series 6 44mm Modrý hliník s námořně modrým sportovním řemínkem,Skladem,JA059c1k,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",12 290
Apple Watch SE 40mm Vesmírně černý hliník s černým sportovním řemínkem,Skladem,JA059c5c,"Chytré hodinky - unisex, Apple Pay, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",7 990
Xiaomi Amazfit GTR 42mm Pink,Skladem,XI300i07g,"Chytré hodinky - unisex s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, intervalový trénink, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, připojení pomocí Bluetooth, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,5",2 890
Garmin Vívoactive 4S Grey Black,Skladem,SKvact02,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Garmin Pay, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, výškoměr, teploměr, senzor Galileo, připojení pomocí ANT+, Bluetooth a USB, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), Connect IQ, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: ocel","4,4",6 109
Samsung Galaxy Watch 42mm Black,Skladem,SAAW0013e,"Chytré hodinky - pánské s měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, připojení pomocí WiFi a Bluetooth, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, gorilla glass sklíčko, materiál řemínku: silikon","4,6",4 790
Apple Watch Series 6 44mm Zlatý hliník s pískově růžovým sportovním řemínkem,Skladem,JA059c1l,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,7",12 290
Samsung Galaxy Watch 3 41mm bronzové,Skladem,SaGALW3d,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, bezpečnostní funkce, sledování menstruačního cyklu, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 8000 MB, gorilla glass sklíčko, materiál řemínku: kůže, materiál pouzdra: nerezová ocel","4,4",8 990
Samsung Galaxy Fit2 černý,Skladem,SAAW0017b,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, intervalový trénink, připojení pomocí Bluetooth, s akcelerometrem, s gyroskopem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","5,0",1 389
Samsung Galaxy Watch Active 2 44mm černé,Skladem,SAAW0014a,"Chytré hodinky s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, záznam trasy, měření tempa, intervalový trénink, barometr, gyroskop, kompas, senzor pro intenzitu světla, senzor GLONASS, připojení pomocí WiFi, Bluetooth, stav baterie, notifikace z mobilu, vibrace, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: elastomer, materiál pouzdra: hliník","4,6",5 490
